Objecttype;Clustercode;Dakpartner;Betrokken Projectleider Techniek Daken;Jaar laatste dakonderhoud;Dakveiligheidsvoorzieningen aangebracht?;Bliksembeveiliging;Antenneopstelplaats
Building;25008;Cazdak;Anton Jansen;;;;GSO
Building;25009;Cazdak;Anton Jansen;;;;
Building;25010;Cazdak;Anton Jansen;;;;GSO
Building;25011;Cazdak;Anton Jansen;;;;GSO
Building;25012;Cazdak;Anton Jansen;;;;
Building;25013;Cazdak;Anton Jansen;;Nee;;GSO
Building;25014;Cazdak;Anton Jansen;;;;
Building;25015;Cazdak;Anton Jansen;;;;GSO
Building;25016;Cazdak;Anton Jansen;;Ja;;
Building;25017;Cazdak;Anton Jansen;;;;
Building;25018;Cazdak;Anton Jansen;;;;GSO
Building;25019;Cazdak;Anton Jansen;;;;
Building;25020;Cazdak;Anton Jansen;;;;
Building;25021;Cazdak;Anton Jansen;;;;
Building;25022;Cazdak;Anton Jansen;;;;GSO
Building;25023;Cazdak;Anton Jansen;;;;GSO
Building;25024;Cazdak;Anton Jansen;;Ja;;
Building;25025;Cazdak;Anton Jansen;;;;GSO
Building;25026;Cazdak;Anton Jansen;;;;GSO
Building;25027;Cazdak;Anton Jansen;;;;
Building;25028;Cazdak;Anton Jansen;;Nee;;
Building;25030;Cazdak;Anton Jansen;;;;
Building;25031;Cazdak;Anton Jansen;;;;
Building;25032;Cazdak;Anton Jansen;;;;
Building;25033;Cazdak;Anton Jansen;;;;
Building;25036;Cazdak;Anton Jansen;;Nee;;
Building;25037;Cazdak;Anton Jansen;;;;
Building;25038;Cazdak;Anton Jansen;;;;
Building;25039;Cazdak;Anton Jansen;;;;
Building;25040;Cazdak;Anton Jansen;;;;GSO
Building;25041;Cazdak;Anton Jansen;;;;
Building;25042;Cazdak;Anton Jansen;;;;GSO
Building;25043;Cazdak;Anton Jansen;;Ja;;GSO
Building;25044;Cazdak;Anton Jansen;;;;GSO
Building;25045;Cazdak;Anton Jansen;;;;GSO
Building;25046;Cazdak;Anton Jansen;;;;
Building;25047;Cazdak;Anton Jansen;;;;
Building;25048;Cazdak;Anton Jansen;;;;GSO
Building;25049;Cazdak;Anton Jansen;;;;
Building;25050;Cazdak;Anton Jansen;;;;
Building;25051;Cazdak;Anton Jansen;;;;GSO
Building;25052;Cazdak;Anton Jansen;;;;
Building;25053;Cazdak;Anton Jansen;;;;
Building;25054;Cazdak;Anton Jansen;;;;
Building;25056;Cazdak;Anton Jansen;;;;
Building;25057;Cazdak;Anton Jansen;;;;
Building;25058;Cazdak;Anton Jansen;;;;
Building;25059;Cazdak;Anton Jansen;;;;
Building;25060;Cazdak;Anton Jansen;;;;
Building;25061;Cazdak;Anton Jansen;;;;
Building;25062;Cazdak;Anton Jansen;;;;
Building;25063;Cazdak;Anton Jansen;;;;
Building;25064;Cazdak;Anton Jansen;;;;
Building;25066;Cazdak;Anton Jansen;;;;
Building;25067;Cazdak;Anton Jansen;;Ja;;
Building;25068;Cazdak;Anton Jansen;;;;
Building;25069;Cazdak;Anton Jansen;;;;
Building;25070;Cazdak;Anton Jansen;;;;
Building;25071;Cazdak;Anton Jansen;;;;
Building;25072;Cazdak;Anton Jansen;;;;
Building;25073;Cazdak;Anton Jansen;;;;
Building;25100;Cazdak;Anton Jansen;;;;
Building;25102;Cazdak;Anton Jansen;;;;
Building;25104;Cazdak;Anton Jansen;;;;
Building;25106;Cazdak;Anton Jansen;;;;GSO
Building;25110;Cazdak;Anton Jansen;;;;
Building;25111;Cazdak;Anton Jansen;;;;
Building;25112;Cazdak;Anton Jansen;;;;
Building;25126;Cazdak;Anton Jansen;;;;
Building;25130;Cazdak;Anton Jansen;;;;GSO
Building;25133;Cazdak;Anton Jansen;;;;
Building;25136;Cazdak;Anton Jansen;;;;
Building;25137;Cazdak;Anton Jansen;;Ja;;
Building;25139;Cazdak;Anton Jansen;;;;
Building;25140;Cazdak;Anton Jansen;;;;GSO
